time,energy,dew_point,enth,rel_hum,temp,lab_P051_binary,lab_P015_binary,lab_P011_binary,lab_251102_binary,WorkDay,day_of_week,month,year,hour,day,day_of_year,day_of_week_sin,day_of_week_cos,hour_sin,hour_cos,month_sin,month_cos
2022-03-26 13:00:00,2119.671268695743,4.128571428571428,34.43076923076923,32.10377358490566,21.37857142857143,0.0,0.0,0.0,0.0,0,5,3,2022,13,26,85,-0.9749279121818236,-0.2225209339563146,-0.2588190451025208,-0.9659258262890683,1.0,6.123233995736766e-17
2022-03-26 14:00:00,1342.0,3.1153846153846154,33.660000000000004,29.87762803234501,21.46153846153846,0.0,0.0,0.0,0.0,0,5,3,2022,14,26,85,-0.9749279121818236,-0.2225209339563146,-0.4999999999999997,-0.8660254037844388,1.0,6.123233995736766e-17
2022-03-26 15:00:00,1431.0,1.6666666666666667,29.517971825986635,28.074963924963924,20.72,0.0,0.0,0.0,0.0,0,5,3,2022,15,26,85,-0.9749279121818236,-0.2225209339563146,-0.7071067811865471,-0.7071067811865479,1.0,6.123233995736766e-17
2022-03-26 16:00:00,1454.0,0.9090909090909091,29.517971825986635,26.885973751769477,20.650000000000002,0.0,0.0,0.0,0.0,0,5,3,2022,16,26,85,-0.9749279121818236,-0.2225209339563146,-0.8660254037844385,-0.5000000000000004,1.0,6.123233995736766e-17
2022-03-26 17:00:00,1555.0,0.44000000000000006,30.1,26.701900237529692,20.142857142857142,0.0,0.0,0.0,0.0,0,5,3,2022,17,26,85,-0.9749279121818236,-0.2225209339563146,-0.9659258262890683,-0.25881904510252063,1.0,6.123233995736766e-17
2022-03-26 18:00:00,1627.0,-2.414285714285714,26.1,26.986935866983377,17.5,0.0,0.0,0.0,0.0,0,5,3,2022,18,26,85,-0.9749279121818236,-0.2225209339563146,-1.0,-1.8369701987210297e-16,1.0,6.123233995736766e-17
2022-03-26 19:00:00,1597.0,-4.7,22.100000000000005,27.271971496437054,14.9,0.0,0.0,0.0,0.0,0,5,3,2022,19,26,85,-0.9749279121818236,-0.2225209339563146,-0.9659258262890684,0.2588190451025203,1.0,6.123233995736766e-17
2022-03-26 20:00:00,1618.0,-4.966666666666666,29.517971825986635,27.557007125890735,14.475,0.0,0.0,0.0,0.0,0,5,3,2022,20,26,85,-0.9749279121818236,-0.2225209339563146,-0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2022-03-26 21:00:00,1579.0,-6.275,19.1,27.84204275534442,12.62857142857143,0.0,0.0,0.0,0.0,0,5,3,2022,21,26,85,-0.9749279121818236,-0.2225209339563146,-0.7071067811865477,0.7071067811865474,1.0,6.123233995736766e-17
2022-03-26 22:00:00,1597.0,-7.2,17.1,28.1270783847981,11.16,0.0,0.0,0.0,0.0,0,5,3,2022,22,26,85,-0.9749279121818236,-0.2225209339563146,-0.5000000000000004,0.8660254037844384,1.0,6.123233995736766e-17
