"Time","sensor-readings.difference"
1648296000000,1
1648299600000,0
1648303200000,0.30078125
1648306800000,0
1648310400000,0
1648314000000,1
1648317600000,0.099609375
1648321200000,0
1648324800000,0
1648328400000,1.5
1648332000000,0
1648335600000,0
1648339200000,2.599609375
1648342800000,0
1648346400000,0
1648350000000,0
1648353600000,0
1648357200000,0
1648360800000,6.5
1648364400000,0
1648368000000,2.30078125
1648371600000,0
1648375200000,0
1648378800000,0
1648382400000,0
1648386000000,0
1648389600000,0
1648393200000,1.8984375
1648396800000,0
1648400400000,0.6015625
1648404000000,0
1648407600000,0
1648411200000,0
1648414800000,0
1648418400000,0
1648422000000,3.099609375
1648425600000,0
1648429200000,0
1648432800000,0
1648436400000,0
1648440000000,0
1648443600000,0
1648447200000,0
1648450800000,0
1648454400000,0
1648458000000,11.400390625
1648461600000,0
1648465200000,0
1648468800000,0
1648472400000,0
1648476000000,0
1648479600000,0
1648483200000,0
1648486800000,1.19921875
1648490400000,0
1648494000000,0
1648497600000,0
1648501200000,0
1648504800000,0
1648508400000,0
1648512000000,0
1648515600000,0
1648519200000,0
1648522800000,0
1648526400000,8.5
1648530000000,0
1648533600000,0
1648537200000,3.80078125
1648540800000,0.69921875
1648544400000,0
1648548000000,0
1648551600000,0.900390625
1648555200000,0
1648558800000,0
1648562400000,0.099609375
1648566000000,0
1648569600000,0
1648573200000,0
1648576800000,0.30078125
1648580400000,0
1648584000000,0
1648587600000,1.5
1648591200000,0
1648594800000,0
1648598400000,0
1648602000000,0
1648605600000,0
1648609200000,5.099609375
1648612800000,1.5
1648616400000,0
1648620000000,0
1648623600000,0
1648627200000,0
1648630800000,0
1648634400000,5.900390625
1648638000000,0
1648641600000,0
1648645200000,0
1648648800000,0
1648652400000,0
1648656000000,3.099609375
1648659600000,0.400390625
1648663200000,0.69921875
1648666800000,0
1648670400000,0
1648674000000,2.30078125
1648677600000,0
1648681200000,0
1648684800000,1.798828125
1648688400000,0
1648692000000,0
1648695600000,0
1648699200000,0
1648702800000,0
1648706400000,0
1648710000000,0
1648713600000,0
1648717200000,10.900390625
1648720800000,2.19921875
1648724400000,0
1648728000000,2.5
1648731600000,1.1015625
1648735200000,0.099609375
1648738800000,1.900390625
1648742400000,0
1648746000000,1.599609375
1648749600000,0
1648753200000,0
1648756800000,2.900390625
1648760400000,0
1648764000000,0
1648767600000,0
1648771200000,0
1648774800000,0
1648778400000,0
1648782000000,0
1648785600000,0
1648789200000,0
1648792800000,0
1648796400000,0
1648800000000,0
1648803600000,0
1648807200000,0
