"Time","sensor-readings.reading"
1634104800000,448543
1634108400000,450421
1634112000000,452271
1634115600000,454381
1634119200000,456491
1634122800000,458473
1634126400000,460347
1634130000000,462261
1634133600000,464211
1634137200000,465853
1634140800000,467232
1634144400000,468447
1634148000000,469585
1634151600000,470692
1634155200000,471807
1634158800000,472906
1634162400000,473997
1634166000000,475072
1634169600000,476115
1634173200000,477174
1634176800000,478229
1634180400000,479312
1634184000000,480439
1634187600000,481777
1634191200000,483372
1634194800000,485114
1634198400000,486916
1634202000000,488970
1634205600000,490904
1634209200000,492806
1634212800000,494704
1634216400000,496483
1634220000000,498141
1634223600000,499571
1634227200000,500838
1634230800000,502001
1634234400000,503104
1634238000000,504159
1634241600000,505210
1634245200000,506221
1634248800000,507252
1634252400000,508275
1634256000000,509298
1634259600000,510301
1634263200000,511324
1634266800000,512375
1634270400000,513438
1634274000000,514704
1634277600000,516203
1634281200000,518033
1634284800000,519803
1634288400000,521777
1634292000000,523891
1634295600000,525749
1634299200000,527308
1634302800000,528630
1634306400000,529825
1634310000000,531012
1634313600000,532151
1634317200000,533238
1634320800000,534265
1634324400000,535280
1634328000000,536263
1634331600000,537246
1634335200000,538237
1634338800000,539228
1634342400000,540231
1634346000000,541190
1634349600000,542145
1634353200000,543060
1634356800000,543987
1634360400000,544898
1634364000000,545817
1634367600000,546780
1634371200000,547747
1634374800000,548710
1634378400000,549629
1634382000000,550560
1634385600000,551495
1634389200000,552427
1634392800000,553358
1634396400000,554313
1634400000000,555260
1634403600000,556211
1634407200000,557098
1634410800000,558033
1634414400000,558956
1634418000000,559863
1634421600000,560806
1634425200000,561745
1634428800000,562676
1634432400000,563639
1634436000000,564594
1634439600000,565537
1634443200000,566496
1634446800000,567455
1634450400000,568419
1634454000000,569390
1634457600000,570305
1634461200000,571220
1634464800000,572115
1634468400000,573018
1634472000000,573913
1634475600000,574864
1634479200000,575795
1634482800000,576718
1634486400000,577649
1634490000000,578592
1634493600000,579483
1634497200000,580422
1634500800000,581362
1634504400000,582277
1634508000000,583224
1634511600000,584203
1634515200000,585162
1634518800000,586129
1634522400000,587112
1634526000000,588047
1634529600000,589026
1634533200000,590297
1634536800000,591843
1634540400000,593493
1634544000000,595360
1634547600000,597501
1634551200000,599495
1634554800000,601665
1634558400000,603755
1634562000000,605709
1634565600000,607615
1634569200000,609286
1634572800000,610684
1634576400000,611871
1634580000000,612990
1634583600000,614061
1634587200000,615136
1634590800000,616187
1634594400000,617274
1634598000000,618329
1634601600000,619383
1634605200000,620458
1634608800000,621553
1634612400000,622596
1634616000000,623675
1634619600000,624990
1634623200000,626676
1634626800000,628738
1634630400000,630792
1634634000000,633054
1634637600000,635316
1634641200000,637757
1634644800000,640123
1634648400000,642197
1634652000000,644355
1634655600000,646249
1634659200000,647539
1634662800000,648750
1634666400000,649869
1634670000000,650948
1634673600000,652027
1634677200000,653094
1634680800000,654129
1634684400000,655176
1634688000000,656219
