"Time","reading"
1648299600000,77
1648303200000,72
1648306800000,76
1648310400000,79
1648314000000,75
1648317600000,78
1648321200000,68
1648324800000,72
1648328400000,71
1648332000000,69
1648335600000,66
1648339200000,70
1648342800000,64
1648346400000,69
1648350000000,66
1648353600000,73
1648357200000,70
1648360800000,72
1648364400000,68
1648368000000,69
1648371600000,67
1648375200000,73
1648378800000,73
1648382400000,74
1648386000000,80
1648389600000,76
1648393200000,77
1648396800000,79
1648400400000,75
1648404000000,74
1648407600000,76
1648411200000,71
1648414800000,70
1648418400000,72
1648422000000,71
1648425600000,69
1648429200000,65
1648432800000,65
1648436400000,71
1648440000000,67
1648443600000,94
1648447200000,122
1648450800000,202
1648454400000,143
1648458000000,128
1648461600000,123
1648465200000,117
1648468800000,116
1648472400000,125
1648476000000,108
1648479600000,117
1648483200000,99
1648486800000,99
1648490400000,83
1648494000000,80
1648497600000,74
1648501200000,74
1648504800000,70
1648508400000,72
1648512000000,72
1648515600000,73
1648519200000,67
1648522800000,71
1648526400000,74
1648530000000,88
1648533600000,111
1648537200000,173
1648540800000,172
1648544400000,208
1648548000000,218
1648551600000,222
1648555200000,214
1648558800000,296
1648562400000,236
1648566000000,199
1648569600000,134
1648573200000,95
1648576800000,83
1648580400000,84
1648584000000,80
1648587600000,78
1648591200000,76
1648594800000,78
1648598400000,76
1648602000000,74
1648605600000,76
1648609200000,76
1648612800000,74
1648616400000,114
1648620000000,123
1648623600000,173
1648627200000,165
1648630800000,190
1648634400000,187
1648638000000,184
1648641600000,207
1648645200000,217
1648648800000,182
1648652400000,164
1648656000000,81
1648659600000,68
1648663200000,66
1648666800000,60
1648670400000,60
1648674000000,60
1648677600000,58
1648681200000,59
1648684800000,53
1648688400000,57
1648692000000,58
1648695600000,59
1648699200000,60
1648702800000,106
1648706400000,153
1648710000000,177
1648713600000,286
1648717200000,305
1648720800000,267
1648724400000,245
1648728000000,209
1648731600000,256
1648735200000,289
1648738800000,215
1648742400000,108
1648746000000,81
1648749600000,71
1648753200000,75
1648756800000,70
1648760400000,70
1648764000000,71
1648767600000,73
1648771200000,64
1648774800000,57
1648778400000,58
1648782000000,52
1648785600000,62
1648789200000,127
1648792800000,187
1648796400000,231
1648800000000,251
1648803600000,216
1648807200000,225
1648810800000,223
1648814400000,153
1648818000000,120
1648821600000,63
1648825200000,59
1648828800000,63
1648832400000,72
1648836000000,87
1648839600000,90
1648843200000,91
1648846800000,85
1648850400000,92
1648854000000,87
1648857600000,92
1648861200000,88
1648864800000,91
1648868400000,87
1648872000000,90
1648875600000,90
1648879200000,89
1648882800000,91
1648886400000,87
1648890000000,92
1648893600000,86
1648897200000,92
1648900800000,86
1648904400000,92
1648908000000,86
1648911600000,92
1648915200000,88
1648918800000,91
1648922400000,89
1648926000000,89
1648929600000,88
1648933200000,92
1648936800000,86
1648940400000,93
1648944000000,87
1648947600000,92
1648951200000,86
1648954800000,92
1648958400000,87
1648962000000,93
1648965600000,86
1648969200000,92
1648972800000,86
1648976400000,93
1648980000000,85
1648983600000,91
1648987200000,85
1648990800000,89
1648994400000,89
1648998000000,85
1649001600000,90
1649005200000,91
1649008800000,84
1649012400000,91
1649016000000,87
1649019600000,93
1649023200000,86
1649026800000,94
1649030400000,87
1649034000000,93
1649037600000,86
1649041200000,88
1649044800000,91
1649048400000,88
1649052000000,129
1649055600000,194
1649059200000,260
1649062800000,281
1649066400000,275
1649070000000,285
1649073600000,279
1649077200000,284
1649080800000,282
1649084400000,228
1649088000000,111
1649091600000,62
1649095200000,59
1649098800000,57
1649102400000,57
1649106000000,59
1649109600000,55
1649113200000,60
1649116800000,55
1649120400000,58
1649124000000,58
1649127600000,54
1649131200000,61
1649134800000,71
1649138400000,97
1649142000000,169
1649145600000,191
1649149200000,192
1649152800000,198
1649156400000,253
1649160000000,291
1649163600000,318
1649167200000,285
1649170800000,115
1649174400000,66
1649178000000,62
1649181600000,55
1649185200000,60
1649188800000,57
1649192400000,55
1649196000000,52
1649199600000,57
1649203200000,52
1649206800000,55
1649210400000,56
1649214000000,50
1649217600000,58
1649221200000,92
1649224800000,182
1649228400000,278
1649232000000,305
1649235600000,327
1649239200000,323
1649242800000,327
1649246400000,329
1649250000000,320
1649253600000,363
1649257200000,297
1649260800000,141
1649264400000,77
1649268000000,65
1649271600000,62
1649275200000,63
1649278800000,55
1649282400000,60
1649286000000,61
1649289600000,54
1649293200000,60
1649296800000,60
1649300400000,54
1649304000000,61
1649307600000,103
1649311200000,188
1649314800000,234
1649318400000,308
1649322000000,229
1649325600000,198
1649329200000,211
1649332800000,260
1649336400000,440
1649340000000,395
1649343600000,294
1649347200000,97
1649350800000,68
1649354400000,100
1649358000000,102
1649361600000,98
1649365200000,93
1649368800000,93
1649372400000,91
1649376000000,90
1649379600000,92
1649383200000,91
1649386800000,86
1649390400000,89
1649394000000,136
1649397600000,186
1649401200000,252
1649404800000,353
1649408400000,318
1649412000000,306
1649415600000,278
1649419200000,250
1649422800000,125
1649426400000,127
1649430000000,66
1649433600000,65
1649437200000,68
1649440800000,61
1649444400000,57
1649448000000,58
1649451600000,55
1649455200000,56
1649458800000,57
1649462400000,54
1649466000000,54
