"Time","sensor-readings.reading"
1638252000000,0
1638255600000,1
1638259200000,1
1638262800000,1
1638266400000,1
1638270000000,0
1638273600000,1
1638277200000,0
1638280800000,1
1638284400000,0
1638288000000,0
1638291600000,0
1638295200000,0
1638298800000,0
1638302400000,0
1638306000000,0
1638309600000,0
1638313200000,0
1638316800000,0
1638320400000,0
1638324000000,0
1638327600000,0
1638331200000,0
1638334800000,0
1638338400000,0
1638342000000,0
1638345600000,0
1638349200000,0
1638352800000,0
1638356400000,0
1638360000000,1
1638363600000,1
1638367200000,1
1638370800000,0
1638374400000,0
1638378000000,0
1638381600000,0
1638385200000,0
1638388800000,0
1638392400000,0
1638396000000,0
1638399600000,0
1638403200000,0
1638406800000,0
1638410400000,0
1638414000000,0
1638417600000,0
1638421200000,0
1638424800000,0
1638428400000,0
1638432000000,0
1638435600000,0
1638439200000,0
1638442800000,0
1638446400000,0
1638450000000,0
1638453600000,0
1638457200000,0
1638460800000,0
1638464400000,0
1638468000000,0
1638471600000,0
1638475200000,0
1638478800000,0
1638482400000,0
1638486000000,0
1638489600000,0
1638493200000,0
1638496800000,0
1638500400000,0
1638504000000,0
1638507600000,0
1638511200000,0
1638514800000,0
1638518400000,0
1638522000000,0
1638525600000,0
1638529200000,1
1638532800000,0
1638536400000,1
1638540000000,0
1638543600000,0
1638547200000,0
1638550800000,0
1638554400000,0
1638558000000,0
1638561600000,0
1638565200000,0
1638568800000,0
1638572400000,0
1638576000000,0
1638579600000,0
1638583200000,0
1638586800000,0
1638590400000,0
1638594000000,0
1638597600000,0
1638601200000,0
1638604800000,0
1638608400000,1
1638612000000,0
1638615600000,1
1638619200000,0
1638622800000,1
1638626400000,0
1638630000000,0
1638633600000,0
1638637200000,0
1638640800000,0
1638644400000,0
1638648000000,0
1638651600000,0
1638655200000,0
1638658800000,0
1638662400000,0
1638666000000,0
1638669600000,0
1638673200000,0
1638676800000,0
1638680400000,0
1638684000000,0
1638687600000,0
1638691200000,0
1638694800000,0
1638698400000,0
1638702000000,0
1638705600000,0
1638709200000,0
1638712800000,0
1638716400000,0
1638720000000,0
1638723600000,0
1638727200000,0
1638730800000,0
1638734400000,0
1638738000000,0
1638741600000,0
1638745200000,0
1638748800000,0
1638752400000,0
1638756000000,0
1638759600000,0
1638763200000,0
1638766800000,0
1638770400000,0
1638774000000,0
1638777600000,0
1638781200000,1
1638784800000,1
1638788400000,1
1638792000000,1
1638795600000,1
1638799200000,1
1638802800000,0
1638806400000,0
1638810000000,0
1638813600000,0
1638817200000,0
1638820800000,0
1638824400000,0
1638828000000,0
1638831600000,0
1638835200000,0
1638838800000,0
1638842400000,0
1638846000000,0
1638849600000,0
1638853200000,0
1638856800000,0
1638860400000,1
1638864000000,1
1638867600000,1
1638871200000,1
1638874800000,1
1638878400000,1
1638882000000,1
1638885600000,1
1638889200000,0
1638892800000,0
1638896400000,0
1638900000000,0
1638903600000,0
1638907200000,0
1638910800000,0
1638914400000,0
1638918000000,0
1638921600000,0
1638925200000,0
1638928800000,0
1638932400000,0
1638936000000,0
1638939600000,0
1638943200000,0
1638946800000,1
1638950400000,1
1638954000000,1
1638957600000,0
1638961200000,0
1638964800000,0
1638968400000,0
1638972000000,0
1638975600000,0
1638979200000,0
1638982800000,0
1638986400000,0
1638990000000,0
1638993600000,0
1638997200000,0
1639000800000,0
1639004400000,0
1639008000000,0
1639011600000,0
1639015200000,0
1639018800000,0
1639022400000,0
1639026000000,0
1639029600000,0
1639033200000,0
1639036800000,0
1639040400000,0
1639044000000,0
1639047600000,0
1639051200000,0
1639054800000,0
1639058400000,0
1639062000000,0
1639065600000,0
1639069200000,0
1639072800000,0
1639076400000,0
1639080000000,0
1639083600000,0
1639087200000,0
1639090800000,0
1639094400000,0
1639098000000,0
1639101600000,0
1639105200000,0
1639108800000,0
1639112400000,0
1639116000000,0
1639119600000,0
1639123200000,0
1639126800000,0
1639130400000,0
1639134000000,0
1639137600000,0
1639141200000,0
1639144800000,0
1639148400000,0
1639152000000,0
1639155600000,0
1639159200000,0
1639162800000,0
1639166400000,0
1639170000000,0
1639173600000,0
1639177200000,0
1639180800000,0
1639184400000,0
1639188000000,0
1639191600000,0
1639195200000,0
1639198800000,0
1639202400000,0
1639206000000,0
1639209600000,0
1639213200000,0
1639216800000,0
1639220400000,0
1639224000000,0
1639227600000,0
1639231200000,0
1639234800000,0
1639238400000,0
1639242000000,0
1639245600000,0
1639249200000,0
1639252800000,0
1639256400000,0
1639260000000,0
1639263600000,0
1639267200000,0
1639270800000,0
1639274400000,0
1639278000000,0
1639281600000,0
1639285200000,0
1639288800000,0
1639292400000,1
1639296000000,1
1639299600000,1
1639303200000,1
1639306800000,1
1639310400000,1
1639314000000,1
1639317600000,0
1639321200000,0
1639324800000,0
1639328400000,0
1639332000000,0
1639335600000,0
1639339200000,0
1639342800000,0
1639346400000,0
1639350000000,0
1639353600000,0
1639357200000,0
1639360800000,0
1639364400000,0
1639368000000,0
1639371600000,0
1639375200000,0
1639378800000,0
1639382400000,0
1639386000000,0
1639389600000,0
1639393200000,0
1639396800000,0
1639400400000,0
1639404000000,1
1639407600000,0
1639411200000,0
1639414800000,0
1639418400000,0
1639422000000,0
1639425600000,0
1639429200000,0
1639432800000,0
1639436400000,0
1639440000000,0
1639443600000,0
1639447200000,0
1639450800000,0
1639454400000,0
1639458000000,0
1639461600000,0
1639465200000,0
1639468800000,1
1639472400000,1
1639476000000,1
1639479600000,0
1639483200000,1
1639486800000,1
1639490400000,1
1639494000000,0
1639497600000,0
1639501200000,0
1639504800000,0
1639508400000,0
1639512000000,0
1639515600000,0
1639519200000,0
1639522800000,0
1639526400000,0
1639530000000,0
1639533600000,0
1639537200000,0
1639540800000,0
1639544400000,0
1639548000000,0
1639551600000,0
1639555200000,0
1639558800000,0
1639562400000,0
1639566000000,0
1639569600000,0
1639573200000,1
1639576800000,0
1639580400000,0
1639584000000,0
1639587600000,0
1639591200000,0
1639594800000,0
1639598400000,0
1639602000000,0
1639605600000,0
1639609200000,0
1639612800000,0
1639616400000,0
1639620000000,0
1639623600000,0
1639627200000,0
1639630800000,0
1639634400000,0
1639638000000,0
1639641600000,0
1639645200000,0
1639648800000,1
1639652400000,1
1639656000000,1
1639659600000,1
1639663200000,1
1639666800000,0
1639670400000,0
1639674000000,0
1639677600000,0
1639681200000,0
1639684800000,0
1639688400000,0
1639692000000,0
1639695600000,0
1639699200000,0
1639702800000,0
1639706400000,0
1639710000000,0
1639713600000,0
1639717200000,0
1639720800000,0
1639724400000,0
1639728000000,0
1639731600000,1
1639735200000,1
1639738800000,1
1639742400000,1
1639746000000,1
1639749600000,1
1639753200000,0
1639756800000,0
1639760400000,0
1639764000000,0
1639767600000,0
1639771200000,0
1639774800000,0
1639778400000,0
1639782000000,0
1639785600000,0
1639789200000,0
1639792800000,0
1639796400000,0
1639800000000,0
1639803600000,0
1639807200000,0
1639810800000,0
1639814400000,1
1639818000000,1
1639821600000,1
1639825200000,1
1639828800000,1
1639832400000,0
1639836000000,0
1639839600000,0
1639843200000,0
1639846800000,0
1639850400000,0
1639854000000,0
1639857600000,0
1639861200000,0
1639864800000,0
1639868400000,0
1639872000000,0
1639875600000,0
1639879200000,0
1639882800000,0
1639886400000,0
1639890000000,0
1639893600000,0
1639897200000,0
1639900800000,1
1639904400000,1
1639908000000,1
1639911600000,1
1639915200000,1
1639918800000,1
1639922400000,1
1639926000000,0
1639929600000,0
1639933200000,0
1639936800000,0
1639940400000,0
1639944000000,0
1639947600000,0
1639951200000,0
1639954800000,0
1639958400000,0
1639962000000,0
1639965600000,0
1639969200000,0
1639972800000,0
1639976400000,0
1639980000000,0
1639983600000,0
1639987200000,1
1639990800000,1
1639994400000,1
1639998000000,1
1640001600000,1
1640005200000,1
1640008800000,1
1640012400000,0
1640016000000,0
1640019600000,0
1640023200000,0
1640026800000,0
1640030400000,0
1640034000000,0
1640037600000,0
1640041200000,0
1640044800000,0
1640048400000,0
1640052000000,0
1640055600000,0
1640059200000,0
1640062800000,0
1640066400000,0
1640070000000,0
1640073600000,0
1640077200000,0
1640080800000,1
1640084400000,1
1640088000000,1
1640091600000,1
1640095200000,1
1640098800000,0
1640102400000,0
1640106000000,0
1640109600000,0
1640113200000,0
1640116800000,0
1640120400000,0
1640124000000,0
1640127600000,0
1640131200000,0
1640134800000,0
1640138400000,0
1640142000000,0
1640145600000,0
1640149200000,0
1640152800000,0
1640156400000,0
1640160000000,0
1640163600000,0
1640167200000,0
1640170800000,0
1640174400000,0
1640178000000,0
1640181600000,0
1640185200000,0
1640188800000,0
1640192400000,0
1640196000000,0
1640199600000,0
1640203200000,0
1640206800000,0
1640210400000,0
1640214000000,0
1640217600000,0
1640221200000,0
1640224800000,0
1640228400000,0
1640232000000,0
1640235600000,0
1640239200000,0
1640242800000,0
1640246400000,0
1640250000000,0
1640253600000,0
1640257200000,0
1640260800000,0
1640264400000,0
1640268000000,0
1640271600000,0
1640275200000,0
1640278800000,0
1640282400000,0
1640286000000,0
1640289600000,0
1640293200000,0
1640296800000,0
1640300400000,0
1640304000000,0
1640307600000,0
1640311200000,0
1640314800000,0
1640318400000,0
1640322000000,0
1640325600000,0
1640329200000,0
1640332800000,0
1640336400000,0
1640340000000,0
1640343600000,1
1640347200000,0
1640350800000,0
1640354400000,0
1640358000000,0
1640361600000,0
1640365200000,0
1640368800000,0
1640372400000,0
1640376000000,0
1640379600000,0
1640383200000,0
1640386800000,0
1640390400000,0
1640394000000,0
1640397600000,0
1640401200000,0
1640404800000,0
1640408400000,0
1640412000000,0
1640415600000,0
1640419200000,0
1640422800000,1
1640426400000,1
1640430000000,0
1640433600000,0
1640437200000,1
1640440800000,0
1640444400000,0
1640448000000,0
1640451600000,0
1640455200000,0
1640458800000,0
1640462400000,0
1640466000000,0
1640469600000,0
1640473200000,0
1640476800000,0
1640480400000,0
1640484000000,0
1640487600000,0
1640491200000,0
1640494800000,0
1640498400000,0
1640502000000,0
1640505600000,0
1640509200000,0
1640512800000,0
1640516400000,0
1640520000000,0
1640523600000,0
1640527200000,0
1640530800000,0
1640534400000,0
1640538000000,0
1640541600000,0
1640545200000,0
1640548800000,0
1640552400000,0
1640556000000,0
1640559600000,0
1640563200000,0
1640566800000,0
1640570400000,0
1640574000000,0
1640577600000,0
1640581200000,0
1640584800000,0
1640588400000,0
1640592000000,0
1640595600000,0
1640599200000,0
1640602800000,0
1640606400000,0
1640610000000,0
1640613600000,0
1640617200000,0
1640620800000,0
1640624400000,0
1640628000000,0
1640631600000,0
1640635200000,0
1640638800000,0
1640642400000,0
1640646000000,0
1640649600000,0
1640653200000,0
1640656800000,0
1640660400000,0
1640664000000,0
1640667600000,0
1640671200000,0
1640674800000,0
1640678400000,0
1640682000000,0
1640685600000,0
1640689200000,0
1640692800000,0
1640696400000,0
1640700000000,0
1640703600000,0
1640707200000,0
1640710800000,0
1640714400000,0
1640718000000,0
1640721600000,0
1640725200000,0
1640728800000,0
1640732400000,0
1640736000000,0
1640739600000,0
1640743200000,0
1640746800000,0
1640750400000,0
1640754000000,0
1640757600000,0
1640761200000,0
1640764800000,0
1640768400000,0
1640772000000,1
1640775600000,1
1640779200000,1
1640782800000,1
1640786400000,1
1640790000000,0
1640793600000,0
1640797200000,0
1640800800000,0
1640804400000,0
1640808000000,0
1640811600000,0
1640815200000,0
1640818800000,0
1640822400000,0
1640826000000,0
1640829600000,0
1640833200000,0
1640836800000,0
1640840400000,0
1640844000000,0
1640847600000,0
1640851200000,1
1640854800000,1
1640858400000,1
1640862000000,1
1640865600000,0
1640869200000,0
1640872800000,0
1640876400000,0
1640880000000,0
1640883600000,0
1640887200000,0
1640890800000,0
1640894400000,0
1640898000000,0
1640901600000,0
1640905200000,0
1640908800000,0
1640912400000,0
1640916000000,0
1640919600000,0
1640923200000,0
1640926800000,0
1640930400000,0
1640934000000,0
1640937600000,1
1640941200000,1
1640944800000,1
1640948400000,1
1640952000000,1
1640955600000,1
1640959200000,1
1640962800000,0
1640966400000,0
1640970000000,0
1640973600000,0
1640977200000,0
1640980800000,0
1640984400000,0
1640988000000,0
1640991600000,0
1640995200000,0
1640998800000,0
1641002400000,0
1641006000000,0
1641009600000,0
1641013200000,0
1641016800000,0
1641020400000,0
1641024000000,1
1641027600000,1
1641031200000,1
1641034800000,1
1641038400000,1
1641042000000,1
1641045600000,1
1641049200000,0
1641052800000,0
1641056400000,0
1641060000000,0
1641063600000,0
1641067200000,0
1641070800000,0
1641074400000,0
1641078000000,0
1641081600000,0
1641085200000,0
1641088800000,0
1641092400000,0
1641096000000,0
1641099600000,0
1641103200000,0
1641106800000,0
1641110400000,1
1641114000000,1
1641117600000,1
1641121200000,1
1641124800000,1
1641128400000,1
1641132000000,0
1641135600000,0
1641139200000,0
1641142800000,0
1641146400000,0
1641150000000,0
1641153600000,0
1641157200000,0
1641160800000,0
1641164400000,0
1641168000000,0
1641171600000,0
1641175200000,0
1641178800000,0
1641182400000,0
1641186000000,0
1641189600000,0
1641193200000,0
1641196800000,0
1641200400000,1
1641204000000,1
1641207600000,1
1641211200000,1
1641214800000,0
1641218400000,0
1641222000000,0
1641225600000,0
1641229200000,0
1641232800000,0
1641236400000,0
1641240000000,0
1641243600000,0
1641247200000,0
1641250800000,0
1641254400000,0
1641258000000,0
1641261600000,0
1641265200000,0
1641268800000,0
1641272400000,0
1641276000000,0
1641279600000,0
1641283200000,0
1641286800000,0
1641290400000,0
1641294000000,0
1641297600000,0
1641301200000,0
1641304800000,0
1641308400000,0
1641312000000,0
1641315600000,0
1641319200000,0
1641322800000,0
1641326400000,0
1641330000000,0
1641333600000,0
1641337200000,0
1641340800000,0
1641344400000,0
1641348000000,0
1641351600000,0
1641355200000,0
1641358800000,0
1641362400000,0
1641366000000,0
1641369600000,0
1641373200000,0
1641376800000,0
1641380400000,0
1641384000000,0
1641387600000,0
1641391200000,0
1641394800000,0
1641398400000,0
1641402000000,0
1641405600000,0
1641409200000,0
1641412800000,0
1641416400000,0
1641420000000,0
1641423600000,0
1641427200000,0
1641430800000,0
1641434400000,0
1641438000000,0
1641441600000,0
1641445200000,0
1641448800000,0
1641452400000,0
1641456000000,0
1641459600000,0
1641463200000,1
1641466800000,1
1641470400000,1
1641474000000,0
1641477600000,1
1641481200000,0
1641484800000,0
1641488400000,0
1641492000000,0
1641495600000,0
1641499200000,0
1641502800000,0
1641506400000,0
1641510000000,0
1641513600000,0
1641517200000,0
1641520800000,0
1641524400000,0
1641528000000,0
1641531600000,0
1641535200000,0
1641538800000,0
1641542400000,1
1641546000000,1
1641549600000,1
1641553200000,1
1641556800000,1
1641560400000,1
1641564000000,1
1641567600000,1
1641571200000,0
1641574800000,0
1641578400000,0
1641582000000,0
1641585600000,0
1641589200000,0
1641592800000,0
1641596400000,0
1641600000000,0
1641603600000,0
1641607200000,0
1641610800000,0
1641614400000,0
1641618000000,0
1641621600000,0
1641625200000,0
1641628800000,0
1641632400000,0
1641636000000,0
1641639600000,0
1641643200000,1
1641646800000,1
1641650400000,1
1641654000000,1
1641657600000,0
1641661200000,0
1641664800000,0
1641668400000,0
1641672000000,0
1641675600000,0
1641679200000,0
1641682800000,0
1641686400000,0
1641690000000,0
1641693600000,0
1641697200000,0
1641700800000,0
1641704400000,0
1641708000000,0
1641711600000,0
1641715200000,0
1641718800000,0
1641722400000,0
1641726000000,0
1641729600000,0
1641733200000,0
1641736800000,0
1641740400000,0
1641744000000,0
1641747600000,0
1641751200000,0
1641754800000,0
1641758400000,0
1641762000000,0
1641765600000,0
1641769200000,0
1641772800000,0
1641776400000,0
1641780000000,0
1641783600000,0
1641787200000,0
1641790800000,0
1641794400000,0
1641798000000,0
1641801600000,0
1641805200000,0
1641808800000,0
1641812400000,0
1641816000000,1
1641819600000,0
1641823200000,0
1641826800000,0
1641830400000,0
1641834000000,0
1641837600000,0
1641841200000,0
1641844800000,0
1641848400000,0
1641852000000,0
1641855600000,0
1641859200000,0
1641862800000,0
1641866400000,0
1641870000000,0
1641873600000,0
1641877200000,0
1641880800000,0
1641884400000,0
1641888000000,1
1641891600000,1
1641895200000,1
1641898800000,1
1641902400000,1
1641906000000,1
1641909600000,1
1641913200000,1
1641916800000,0
1641920400000,0
1641924000000,0
1641927600000,0
1641931200000,0
1641934800000,0
1641938400000,0
1641942000000,0
1641945600000,0
1641949200000,0
1641952800000,0
1641956400000,0
1641960000000,0
1641963600000,0
1641967200000,0
1641970800000,0
1641974400000,1
1641978000000,1
1641981600000,1
1641985200000,1
1641988800000,1
1641992400000,1
1641996000000,1
1641999600000,1
1642003200000,0
1642006800000,0
1642010400000,0
1642014000000,0
1642017600000,0
1642021200000,0
1642024800000,0
1642028400000,0
1642032000000,0
1642035600000,0
1642039200000,0
1642042800000,0
1642046400000,0
1642050000000,0
1642053600000,0
1642057200000,0
1642060800000,1
1642064400000,1
1642068000000,1
1642071600000,1
1642075200000,1
1642078800000,1
1642082400000,1
1642086000000,1
1642089600000,0
1642093200000,0
1642096800000,0
1642100400000,0
1642104000000,0
1642107600000,0
1642111200000,0
1642114800000,0
1642118400000,0
1642122000000,0
1642125600000,0
1642129200000,0
1642132800000,0
1642136400000,0
1642140000000,0
1642143600000,0
1642147200000,1
1642150800000,1
1642154400000,1
1642158000000,1
1642161600000,1
1642165200000,1
1642168800000,1
1642172400000,1
1642176000000,0
1642179600000,0
1642183200000,0
1642186800000,0
1642190400000,0
1642194000000,0
1642197600000,0
1642201200000,0
1642204800000,0
1642208400000,0
1642212000000,0
1642215600000,0
1642219200000,0
1642222800000,0
1642226400000,0
1642230000000,0
1642233600000,1
1642237200000,1
1642240800000,1
1642244400000,1
1642248000000,1
1642251600000,1
1642255200000,1
1642258800000,1
1642262400000,0
1642266000000,0
1642269600000,0
1642273200000,0
1642276800000,0
1642280400000,0
1642284000000,0
