"Time","sensor-readings.reading"
1634223600000,5.32
1634227200000,5.32
1634230800000,5.32
1634234400000,5.32
1634238000000,5.32
1634241600000,5.32
1634245200000,5.32
1634248800000,5.32
1634252400000,5.32
1634256000000,5.32
1634259600000,5.32
1634263200000,5.32
1634266800000,5.32
1634270400000,5.32
1634274000000,5.32
1634277600000,5.32
1634281200000,5.32
1634284800000,7.33
1634288400000,7.33
1634292000000,9.36
1634295600000,9.36
1634299200000,9.36
1634302800000,9.36
1634306400000,9.36
1634310000000,7.32
1634313600000,7.32
1634317200000,7.32
1634320800000,5.32
1634324400000,5.32
1634328000000,5.32
1634331600000,5.32
1634335200000,5.32
1634338800000,5.32
1634342400000,5.32
1634346000000,5.32
1634349600000,5.32
1634353200000,5.32
1634356800000,5.32
1634360400000,5.32
1634364000000,5.32
1634367600000,5.32
1634371200000,7.32
1634374800000,7.32
1634378400000,7.32
1634382000000,7.32
1634385600000,7.32
1634389200000,7.32
1634392800000,7.32
1634396400000,7.32
1634400000000,7.32
1634403600000,7.32
1634407200000,7.32
1634410800000,7.32
1634414400000,7.32
1634418000000,7.32
1634421600000,7.32
1634425200000,7.32
1634428800000,7.32
1634432400000,7.32
1634436000000,7.32
1634439600000,7.32
1634443200000,7.32
1634446800000,7.32
1634450400000,7.32
1634454000000,7.32
1634457600000,7.32
1634461200000,7.32
1634464800000,7.32
1634468400000,7.32
1634472000000,7.32
1634475600000,7.32
1634479200000,7.32
1634482800000,7.32
1634486400000,7.32
1634490000000,7.32
1634493600000,5.3
1634497200000,5.3
1634500800000,5.3
1634504400000,5.3
1634508000000,5.3
1634511600000,5.3
1634515200000,5.3
1634518800000,5.3
1634522400000,5.3
1634526000000,5.3
1634529600000,5.3
1634533200000,5.3
1634536800000,5.3
1634540400000,5.3
1634544000000,7.3
1634547600000,9.3
1634551200000,9.3
1634554800000,9.3
1634558400000,9.3
1634562000000,9.3
1634565600000,9.3
1634569200000,9.3
1634572800000,9.3
1634576400000,7.28
1634580000000,7.28
1634583600000,7.28
1634587200000,5.28
1634590800000,5.28
1634594400000,5.28
1634598000000,5.28
1634601600000,5.28
1634605200000,5.28
1634608800000,5.28
1634612400000,5.28
1634616000000,5.28
1634619600000,5.28
1634623200000,5.28
1634626800000,7.3
1634630400000,7.3
1634634000000,7.3
1634637600000,9.3
1634641200000,11.3
1634644800000,11.3
1634648400000,11.3
1634652000000,11.3
1634655600000,9.29
1634659200000,7.29
1634662800000,7.29
1634666400000,7.29
1634670000000,7.29
1634673600000,7.29
1634677200000,7.29
1634680800000,7.29
1634684400000,7.29
1634688000000,7.29
1634691600000,7.29
1634695200000,7.29
1634698800000,7.29
1634702400000,7.29
1634706000000,7.29
1634709600000,7.29
1634713200000,7.29
1634716800000,9.3
1634720400000,11.34
1634724000000,11.34
1634727600000,13.38
1634731200000,13.38
1634734800000,11.37
1634738400000,11.37
1634742000000,9.37
1634745600000,9.37
1634749200000,9.37
1634752800000,7.37
1634756400000,7.37
1634760000000,7.37
1634763600000,7.37
1634767200000,7.37
1634770800000,7.37
1634774400000,7.37
1634778000000,7.37
1634781600000,9.37
1634785200000,9.37
1634788800000,7.37
1634792400000,7.37
1634796000000,7.37
1634799600000,9.4
1634803200000,9.4
1634806800000,11.43
1634810400000,11.43
1634814000000,11.43
1634817600000,9.43
1634821200000,9.43
1634824800000,9.43
1634828400000,9.43
1634832000000,7.43
1634835600000,7.43
1634839200000,7.43
1634842800000,5.42
1634846400000,5.42
1634850000000,5.42
1634853600000,5.42
1634857200000,5.42
1634860800000,5.42
1634864400000,5.42
1634868000000,5.42
1634871600000,5.42
1634875200000,5.42
1634878800000,5.42
1634882400000,5.42
1634886000000,7.42
1634889600000,7.42
1634893200000,9.44
1634896800000,9.44
1634900400000,11.5
1634904000000,11.51
1634907600000,11.51
1634911200000,11.51
1634914800000,9.51
1634918400000,9.51
1634922000000,7.51
1634925600000,7.51
1634929200000,7.51
1634932800000,7.51
1634936400000,7.51
1634940000000,7.51
1634943600000,7.51
1634947200000,7.51
1634950800000,7.51
1634954400000,7.51
1634958000000,7.51
1634961600000,7.51
1634965200000,7.51
1634968800000,5.51
1634972400000,5.51
1634976000000,7.54
1634979600000,9.56
1634983200000,9.56
1634986800000,9.56
1634990400000,9.56
1634994000000,7.56
1634997600000,7.56
1635001200000,7.56
1635004800000,5.56
1635008400000,5.56
1635012000000,5.56
1635015600000,5.56
1635019200000,5.56
1635022800000,5.56
1635026400000,5.56
1635030000000,5.56
1635033600000,5.56
1635037200000,5.56
1635040800000,5.56
1635044400000,5.56
1635048000000,5.56
1635051600000,5.56
1635055200000,5.56
1635058800000,5.56
1635062400000,7.56
1635066000000,7.56
1635069600000,7.56
1635073200000,7.56
1635076800000,7.56
1635080400000,7.56
1635084000000,7.56
1635087600000,7.56
1635091200000,7.56
1635094800000,5.56
1635098400000,5.56
1635102000000,5.56
1635105600000,5.56
1635109200000,5.56
1635112800000,5.56
1635116400000,5.56
1635120000000,5.56
1635123600000,5.56
1635127200000,5.56
1635130800000,5.56
1635134400000,5.56
1635138000000,5.56
1635141600000,5.56
1635145200000,5.56
1635148800000,5.56
1635152400000,7.59
1635156000000,7.59
1635159600000,7.59
1635163200000,7.59
1635166800000,7.59
1635170400000,7.59
1635174000000,7.59
1635177600000,5.59
1635181200000,5.59
1635184800000,5.59
1635188400000,5.59
1635192000000,5.59
1635195600000,3.59
1635199200000,3.59
1635202800000,3.59
1635206400000,3.59
1635210000000,3.59
1635213600000,3.59
1635217200000,3.59
1635220800000,3.59
1635224400000,3.59
1635228000000,3.59
1635231600000,3.59
1635235200000,5.59
1635238800000,5.59
1635242400000,5.59
1635246000000,5.59
1635249600000,5.59
1635253200000,5.59
1635256800000,5.59
1635260400000,5.59
1635264000000,5.59
1635267600000,5.59
1635271200000,5.59
1635274800000,5.59
1635278400000,5.59
1635282000000,5.59
1635285600000,5.59
1635289200000,5.59
1635292800000,5.59
1635296400000,5.59
1635300000000,5.59
1635303600000,5.59
1635307200000,5.59
1635310800000,5.59
1635314400000,5.59
1635318000000,5.59
1635321600000,7.59
1635325200000,7.59
1635328800000,9.61
1635332400000,9.61
1635336000000,9.61
1635339600000,9.61
1635343200000,9.61
1635346800000,7.59
1635350400000,7.59
1635354000000,5.59
1635357600000,5.59
1635361200000,5.59
1635364800000,5.59
1635368400000,5.59
1635372000000,5.59
1635375600000,5.59
1635379200000,5.59
1635382800000,5.59
1635386400000,5.59
1635390000000,5.59
1635393600000,5.59
1635397200000,5.59
1635400800000,5.59
1635404400000,5.59
1635408000000,7.6
1635411600000,7.6
1635415200000,9.61
1635418800000,9.61
1635422400000,9.61
1635426000000,9.61
1635429600000,9.61
1635433200000,7.59
1635436800000,7.59
1635440400000,5.59
1635444000000,5.59
1635447600000,5.59
1635451200000,5.59
1635454800000,5.59
1635458400000,5.59
1635462000000,5.59
1635465600000,5.59
1635469200000,5.59
1635472800000,5.59
1635476400000,5.59
1635480000000,5.59
1635483600000,5.59
1635487200000,5.59
1635490800000,5.59
1635494400000,5.59
1635498000000,7.6
1635501600000,7.6
1635505200000,7.6
1635508800000,7.6
1635512400000,7.6
1635516000000,7.6
1635519600000,7.6
1635523200000,7.6
1635526800000,5.59
1635530400000,5.59
1635534000000,5.59
1635537600000,5.59
1635541200000,5.59
1635544800000,5.59
1635548400000,5.59
1635552000000,5.59
1635555600000,5.59
1635559200000,5.59
1635562800000,5.59
1635566400000,5.59
1635570000000,5.59
1635573600000,5.59
1635577200000,5.59
1635580800000,5.59
1635584400000,7.6
1635588000000,7.6
1635591600000,9.62
1635595200000,9.62
1635598800000,9.62
1635602400000,9.62
1635606000000,7.62
1635609600000,7.62
1635613200000,5.62
1635616800000,5.62
1635620400000,5.62
1635624000000,5.62
1635627600000,5.62
1635631200000,5.62
1635634800000,5.62
1635638400000,5.62
1635642000000,5.62
1635645600000,5.62
1635649200000,5.62
1635652800000,5.62
1635656400000,5.62
1635660000000,5.62
1635663600000,5.62
1635667200000,5.62
1635670800000,7.66
1635674400000,9.68
1635678000000,9.68
1635681600000,9.68
1635685200000,9.68
1635688800000,9.68
1635692400000,7.68
1635696000000,7.68
1635699600000,7.68
1635703200000,5.68
1635706800000,5.68
1635710400000,5.68
1635714000000,5.68
1635717600000,5.68
1635721200000,5.68
1635724800000,5.68
1635728400000,5.68
1635732000000,5.68
1635735600000,5.68
1635739200000,5.68
1635742800000,5.68
1635746400000,5.68
1635750000000,5.68
1635753600000,7.68
1635757200000,7.68
1635760800000,9.68
1635764400000,9.68
1635768000000,9.68
1635771600000,9.68
1635775200000,9.68
1635778800000,7.67
1635782400000,7.67
1635786000000,7.67
1635789600000,7.67
1635793200000,7.67
1635796800000,7.67
1635800400000,7.67
1635804000000,7.67
1635807600000,7.67
1635811200000,7.67
1635814800000,7.67
1635818400000,7.67
1635822000000,7.67
1635825600000,7.67
1635829200000,7.67
1635832800000,7.67
1635836400000,7.67
1635840000000,7.67
1635843600000,7.67
1635847200000,7.67
1635850800000,7.67
1635854400000,9.69
1635858000000,9.69
1635861600000,9.69
1635865200000,9.69
1635868800000,7.68
1635872400000,7.68
1635876000000,7.68
1635879600000,5.68
1635883200000,5.68
1635886800000,5.68
1635890400000,5.68
1635894000000,5.68
1635897600000,5.68
1635901200000,5.68
1635904800000,5.68
1635908400000,5.68
1635912000000,5.68
1635915600000,5.68
1635919200000,5.68
1635922800000,5.68
1635926400000,7.71
1635930000000,7.71
1635933600000,7.71
1635937200000,7.71
1635940800000,9.75
1635944400000,7.75
1635948000000,7.75
1635951600000,7.75
1635955200000,7.75
1635958800000,7.75
1635962400000,7.75
1635966000000,7.75
1635969600000,7.75
1635973200000,7.75
1635976800000,7.75
1635980400000,7.75
1635984000000,7.75
1635987600000,7.75
1635991200000,7.75
1635994800000,7.75
1635998400000,7.75
1636002000000,7.75
1636005600000,7.75
1636009200000,9.79
1636012800000,9.79
1636016400000,11.8
1636020000000,11.8
1636023600000,13.8
1636027200000,11.77
1636030800000,11.77
1636034400000,9.76
1636038000000,9.76
1636041600000,7.73
1636045200000,7.73
1636048800000,5.73
1636052400000,5.73
1636056000000,5.73
1636059600000,5.73
1636063200000,5.73
1636066800000,5.73
1636070400000,5.73
1636074000000,5.73
1636077600000,5.73
1636081200000,5.73
1636084800000,5.73
1636088400000,5.73
1636092000000,5.73
1636095600000,5.73
1636099200000,5.73
1636102800000,5.73
1636106400000,5.73
1636110000000,6.16
1636113600000,6.16
1636117200000,8.21
