"Time","sensor-readings.reading"
1634223600000,1.8
1634227200000,1.1
1634230800000,0.8
1634234400000,0.5
1634238000000,0.5
1634241600000,0.8
1634245200000,0.8
1634248800000,0.8
1634252400000,1.1
1634256000000,0.5
1634259600000,0.5
1634263200000,-0.1
1634266800000,-0.1
1634270400000,-0.1
1634274000000,0.2
1634277600000,2.1
1634281200000,3.9
1634284800000,6.5
1634288400000,7.7
1634292000000,10.5
1634295600000,10
1634299200000,9.3
1634302800000,9.6
1634306400000,9.6
1634310000000,4.6
1634313600000,5
1634317200000,3.2
1634320800000,1.5
1634324400000,0.8
1634328000000,0.5
1634331600000,0.5
1634335200000,1.1
1634338800000,0.2
1634342400000,-0.1
1634346000000,0.2
1634349600000,0.8
1634353200000,1.7
1634356800000,3.2
1634360400000,3.2
1634364000000,3.6
1634367600000,4.3
1634371200000,6.2
1634374800000,9.1
1634378400000,8.7
1634382000000,11.1
1634385600000,11.5
1634389200000,10.5
1634392800000,10.1
1634396400000,7.7
1634400000000,6.2
1634403600000,5.8
1634407200000,5.8
1634410800000,5.8
1634414400000,5.1
1634418000000,4.7
1634421600000,4.3
1634425200000,4.3
1634428800000,4.6
1634432400000,2.8
1634436000000,3.2
1634439600000,2.8
1634443200000,2.4
1634446800000,2.1
1634450400000,5
1634454000000,7.2
1634457600000,10.5
1634461200000,10.1
1634464800000,11.3
1634468400000,10.1
1634472000000,10.8
1634475600000,10
1634479200000,9.6
1634482800000,6.7
1634486400000,5.6
1634490000000,3.1
1634493600000,1.3
1634497200000,1.3
1634500800000,1.3
1634504400000,1.3
1634508000000,1.6
1634511600000,1.6
1634515200000,1.6
1634518800000,2.2
1634522400000,1.9
1634526000000,2.2
1634529600000,1.9
1634533200000,2.9
1634536800000,3.3
1634540400000,4.8
1634544000000,7.1
1634547600000,10
1634551200000,11.6
1634554800000,10.6
1634558400000,11
1634562000000,9.7
1634565600000,7
1634569200000,8.4
1634572800000,7.3
1634576400000,3.6
1634580000000,2.8
1634583600000,2.1
1634587200000,2.1
1634590800000,2.1
1634594400000,1.1
1634598000000,1.7
1634601600000,2.4
1634605200000,2.4
1634608800000,1.5
1634612400000,0.8
1634616000000,0.8
1634619600000,2.1
1634623200000,2.4
1634626800000,4.6
1634630400000,8.7
1634634000000,8.7
1634637600000,10.6
1634641200000,13.3
1634644800000,12.1
1634648400000,13.1
1634652000000,10.5
1634655600000,8.4
1634659200000,6.6
1634662800000,5.5
1634666400000,5.1
1634670000000,5.1
1634673600000,5.1
1634677200000,5.5
1634680800000,5.8
1634684400000,4.7
1634688000000,4.7
1634691600000,5.1
1634695200000,5.5
1634698800000,6.2
1634702400000,4.7
1634706000000,4.3
1634709600000,6.1
1634713200000,5.7
1634716800000,10.5
1634720400000,14.5
1634724000000,14.8
1634727600000,15.8
1634731200000,14.5
1634734800000,13.5
1634738400000,12.1
1634742000000,10.1
1634745600000,8.7
1634749200000,7
1634752800000,6.6
1634756400000,4.7
1634760000000,4.7
1634763600000,4.7
1634767200000,5.7
1634770800000,7.2
1634774400000,6.1
1634778000000,8
1634781600000,8.2
1634785200000,7.1
1634788800000,6.3
1634792400000,6.2
1634796000000,8.1
1634799600000,12.5
1634803200000,12.1
1634806800000,14.8
1634810400000,12.6
1634814000000,11.1
1634817600000,11.4
1634821200000,9
1634824800000,9.3
1634828400000,7.5
1634832000000,4.8
1634835600000,4.5
1634839200000,4.1
1634842800000,1.6
1634846400000,2.2
1634850000000,2.6
1634853600000,3.3
1634857200000,3.5
1634860800000,4.1
1634864400000,4.1
1634868000000,4.5
1634871600000,4.5
1634875200000,4.1
1634878800000,4.1
1634882400000,5.2
1634886000000,6.7
1634889600000,9.2
1634893200000,8.6
1634896800000,10.6
1634900400000,11.1
1634904000000,13.1
1634907600000,12.1
1634911200000,11.3
1634914800000,8.2
1634918400000,8.2
1634922000000,6.3
1634925600000,6.3
1634929200000,6
1634932800000,5.6
1634936400000,5.2
1634940000000,4.8
1634943600000,5.2
1634947200000,4.8
1634950800000,4.5
1634954400000,4.1
1634958000000,3.1
1634961600000,4.1
1634965200000,3.8
1634968800000,2.2
1634972400000,5.2
1634976000000,7.6
1634979600000,9.8
1634983200000,9.8
1634986800000,9.1
1634990400000,8.3
1634994000000,6.8
1634997600000,6.1
1635001200000,6.1
1635004800000,2.1
1635008400000,0.8
1635012000000,0.5
1635015600000,0.8
1635019200000,0.5
1635022800000,0.5
1635026400000,0.5
1635030000000,0.5
1635033600000,0.5
1635037200000,-1.1
1635040800000,-0.2
1635044400000,-0.5
1635048000000,0.1
1635051600000,-0.2
1635055200000,0.4
1635058800000,2.1
1635062400000,7.6
1635066000000,5.8
1635069600000,4.7
1635073200000,6.3
1635076800000,5.6
1635080400000,6.3
1635084000000,4.5
1635087600000,4.5
1635091200000,4.1
1635094800000,2.3
1635098400000,1.3
1635102000000,1.6
1635105600000,0.3
1635109200000,0
1635112800000,-1
1635116400000,-2.2
1635120000000,-1.9
1635123600000,-1.9
1635127200000,-2.6
1635130800000,-1.9
1635134400000,-2.6
1635138000000,-1.9
1635141600000,-1.3
1635145200000,1.6
1635148800000,5.2
1635152400000,7.5
1635156000000,6.2
1635159600000,5.7
1635163200000,7.1
1635166800000,7
1635170400000,6.1
1635174000000,3.6
1635177600000,0.5
1635181200000,-1.1
1635184800000,-2.4
1635188400000,-3.2
1635192000000,-3.2
1635195600000,-3.9
1635199200000,-3.6
1635202800000,-3.2
1635206400000,-3.2
1635210000000,-2.8
1635213600000,-3.6
1635217200000,-3.2
1635220800000,-2.8
1635224400000,-2.1
1635228000000,-1.5
1635231600000,1.7
1635235200000,3.2
1635238800000,4.6
1635242400000,5.7
1635246000000,6.1
1635249600000,6.1
1635253200000,5
1635256800000,4.6
1635260400000,4.3
1635264000000,2.8
1635267600000,1.5
1635271200000,0.8
1635274800000,-0.1
1635278400000,-0.4
1635282000000,-0.1
1635285600000,-0.4
1635289200000,-0.5
1635292800000,-1.1
1635296400000,-0.5
1635300000000,-0.2
1635303600000,-1.1
1635307200000,-1.1
1635310800000,-0.5
1635314400000,1.1
1635318000000,2.8
1635321600000,8
1635325200000,9.1
1635328800000,11.1
1635332400000,10.3
1635336000000,10
1635339600000,10.6
1635343200000,10
1635346800000,6.3
1635350400000,4.1
1635354000000,2.3
1635357600000,0
1635361200000,0.6
1635364800000,-0.3
1635368400000,-0.3
1635372000000,0.3
1635375600000,0.3
1635379200000,-0.6
1635382800000,-0.3
1635386400000,0.6
1635390000000,0.3
1635393600000,1.6
1635397200000,-0.6
1635400800000,0.6
1635404400000,6.3
1635408000000,6.7
1635411600000,9.3
1635415200000,10
1635418800000,10
1635422400000,10.9
1635426000000,9.7
1635429600000,8.4
1635433200000,6.2
1635436800000,2.8
1635440400000,2.1
1635444000000,0.8
1635447600000,0.5
1635451200000,-0.7
1635454800000,-0.4
1635458400000,-0.4
1635462000000,-0.1
1635465600000,0.2
1635469200000,-0.4
1635472800000,-0.7
