"Time","sensor-readings.reading"
1634223600000,22
1634227200000,21
1634230800000,20
1634234400000,20
1634238000000,19
1634241600000,19
1634245200000,19
1634248800000,18
1634252400000,18.1
1634256000000,16.1
1634259600000,16
1634263200000,15
1634266800000,15
1634270400000,14
1634274000000,14
1634277600000,15.8
1634281200000,19.9
1634284800000,26
1634288400000,28.3
1634292000000,35.9
1634295600000,35.1
1634299200000,35
1634302800000,36
1634306400000,37.1
1634310000000,27.7
1634313600000,28.7
1634317200000,24.7
1634320800000,21.7
1634324400000,19.7
1634328000000,18.7
1634331600000,17.7
1634335200000,17.7
1634338800000,16.7
1634342400000,15.6
1634346000000,14.6
1634349600000,15.6
1634353200000,16.6
1634356800000,19.6
1634360400000,19.6
1634364000000,19.6
1634367600000,21.6
1634371200000,24.7
1634374800000,30.7
1634378400000,29.7
1634382000000,35.9
1634385600000,36.8
1634389200000,35.8
1634392800000,35.8
1634396400000,30.8
1634400000000,27.8
1634403600000,26.8
1634407200000,26.8
1634410800000,26.8
1634414400000,24.8
1634418000000,23.8
1634421600000,23.8
1634425200000,22.8
1634428800000,23.8
1634432400000,19.7
1634436000000,19.7
1634439600000,18.7
1634443200000,17.7
1634446800000,17.7
1634450400000,22.7
1634454000000,26.7
1634457600000,33.8
1634461200000,34.8
1634464800000,37.8
1634468400000,35.7
1634472000000,37.9
1634475600000,37.8
1634479200000,36.6
1634482800000,31.3
1634486400000,29.2
1634490000000,24.2
1634493600000,21.2
1634497200000,20.2
1634500800000,18.2
1634504400000,19.2
1634508000000,19.2
1634511600000,18.2
1634515200000,18.2
1634518800000,18.2
1634522400000,17.2
1634526000000,18.2
1634529600000,17.2
1634533200000,18.2
1634536800000,19.2
1634540400000,22.2
1634544000000,26.2
1634547600000,32.3
1634551200000,37.5
1634554800000,35.5
1634558400000,37.2
1634562000000,35.1
1634565600000,30
1634569200000,34
1634572800000,31
1634576400000,24
1634580000000,23
1634583600000,21
1634587200000,19
1634590800000,19
1634594400000,17
1634598000000,17
1634601600000,18
1634605200000,18
1634608800000,16
1634612400000,15
1634616000000,15
1634619600000,16
1634623200000,16
1634626800000,21.2
1634630400000,28.7
1634634000000,29.6
1634637600000,34.9
1634641200000,42.2
1634644800000,40.3
