"Time","sensor-readings.reading"
1634223600000,52.9
1634227200000,52.9
1634230800000,52.9
1634234400000,52.9
1634238000000,54.9
1634241600000,54.9
1634245200000,56.9
1634248800000,58.9
1634252400000,60.9
1634256000000,62.9
1634259600000,64.9
1634263200000,66.9
1634266800000,66.9
1634270400000,68.9
1634274000000,70.9
1634277600000,72.9
1634281200000,74.9
1634284800000,74.9
1634288400000,74.9
1634292000000,72.9
1634295600000,68.9
1634299200000,64.9
1634302800000,60.9
1634306400000,56.9
1634310000000,54.9
1634313600000,54.9
1634317200000,54.9
1634320800000,54.9
1634324400000,54.9
1634328000000,56.9
1634331600000,58.9
1634335200000,60.9
1634338800000,62.9
1634342400000,64.9
1634346000000,68.9
1634349600000,70.9
1634353200000,72.9
1634356800000,74.9
1634360400000,74.9
1634364000000,76.9
1634367600000,76.9
1634371200000,76.9
1634374800000,78.9
1634378400000,78.9
1634382000000,76.9
1634385600000,74.9
1634389200000,70.9
1634392800000,68.9
1634396400000,64.9
1634400000000,64.9
1634403600000,64.9
1634407200000,64.9
1634410800000,64.9
1634414400000,64.9
1634418000000,64.9
1634421600000,66.9
1634425200000,66.9
1634428800000,68.9
1634432400000,68.9
1634436000000,70.9
1634439600000,70.9
1634443200000,72.9
1634446800000,72.9
1634450400000,74.9
1634454000000,76.9
1634457600000,76.9
1634461200000,74.9
1634464800000,70.9
1634468400000,66.9
1634472000000,62.9
1634475600000,60.9
1634479200000,58.9
1634482800000,56.9
1634486400000,54.9
1634490000000,54.9
1634493600000,54.9
1634497200000,56.9
1634500800000,58.9
1634504400000,62.9
1634508000000,64.9
1634511600000,66.9
1634515200000,68.9
1634518800000,70.9
1634522400000,72.9
1634526000000,74.9
1634529600000,74.9
1634533200000,76.9
1634536800000,78.9
1634540400000,78.9
1634544000000,78.9
1634547600000,78.9
1634551200000,78.9
1634554800000,74.9
1634558400000,70.9
1634562000000,66.9
1634565600000,62.9
1634569200000,62.9
1634572800000,60.9
1634576400000,58.9
1634580000000,58.9
1634583600000,60.9
1634587200000,62.9
1634590800000,64.9
1634594400000,66.9
1634598000000,68.9
1634601600000,70.9
1634605200000,72.9
1634608800000,74.9
1634612400000,74.9
1634616000000,76.9
1634619600000,78.9
1634623200000,78.9
1634626800000,80.9
1634630400000,82.9
1634634000000,82.9
1634637600000,78.9
1634641200000,74.9
1634644800000,70.9
1634648400000,64.9
1634652000000,60.9
1634655600000,58.9
1634659200000,58.9
1634662800000,58.9
1634666400000,58.9
1634670000000,60.9
1634673600000,62.9
1634677200000,66.9
1634680800000,68.9
1634684400000,70.9
1634688000000,72.9
1634691600000,74.9
1634695200000,74.9
1634698800000,76.9
1634702400000,78.9
1634706000000,80.9
1634709600000,80.9
1634713200000,82.9
1634716800000,82.9
1634720400000,82.9
1634724000000,80.9
1634727600000,74.9
1634731200000,68.9
1634734800000,64.9
1634738400000,60.9
1634742000000,58.9
1634745600000,58.9
1634749200000,58.9
1634752800000,58.9
1634756400000,60.9
1634760000000,62.9
1634763600000,64.9
1634767200000,66.9
1634770800000,68.9
1634774400000,68.9
1634778000000,68.9
1634781600000,68.9
1634785200000,68.9
1634788800000,68.9
1634792400000,68.9
1634796000000,68.9
1634799600000,68.9
1634803200000,66.9
1634806800000,62.9
1634810400000,58.9
1634814000000,54.9
1634817600000,50.9
1634821200000,48.9
1634824800000,48.9
1634828400000,46.9
1634832000000,46.9
1634835600000,46.9
1634839200000,46.9
1634842800000,46.9
1634846400000,48.9
1634850000000,50.9
1634853600000,54.9
1634857200000,58.9
1634860800000,62.9
1634864400000,66.9
1634868000000,68.9
1634871600000,72.9
1634875200000,74.9
1634878800000,74.9
1634882400000,76.9
1634886000000,78.9
1634889600000,78.9
1634893200000,78.9
1634896800000,78.9
1634900400000,76.9
1634904000000,74.9
1634907600000,70.9
1634911200000,68.9
1634914800000,66.9
1634918400000,66.9
1634922000000,66.9
1634925600000,66.9
1634929200000,68.9
1634932800000,70.9
1634936400000,72.9
1634940000000,74.9
1634943600000,76.9
1634947200000,76.9
1634950800000,78.9
1634954400000,78.9
1634958000000,80.9
1634961600000,80.9
1634965200000,80.9
1634968800000,80.9
1634972400000,80.9
1634976000000,82.9
1634979600000,80.9
1634983200000,76.9
1634986800000,72.9
1634990400000,66.9
