"Time","sensor-readings.reading"
1634223600000,11
1634227200000,10.6
1634230800000,10
1634234400000,9.3
1634238000000,9.3
1634241600000,9
1634245200000,8.6
1634248800000,8.2
1634252400000,8.2
1634256000000,6.7
1634259600000,6.3
1634263200000,5.6
1634266800000,5.2
1634270400000,4.5
1634274000000,4.8
1634277600000,6.5
1634281200000,8
1634284800000,10.8
1634288400000,12.1
1634292000000,15.8
1634295600000,16
1634299200000,16.3
1634302800000,17.1
1634306400000,18.1
1634310000000,13.6
1634313600000,14.3
1634317200000,12
1634320800000,10.3
1634324400000,9.3
1634328000000,8.6
1634331600000,7.5
1634335200000,7.8
1634338800000,6.7
1634342400000,5.6
1634346000000,5.2
1634349600000,5.6
1634353200000,6.3
1634356800000,7.5
1634360400000,7.1
1634364000000,7.5
1634367600000,8.2
1634371200000,9.6
1634374800000,12.6
1634378400000,12.3
1634382000000,15
1634385600000,16
1634389200000,15.6
1634392800000,16
1634396400000,14.3
1634400000000,13
1634403600000,12.3
1634407200000,12.3
1634410800000,12
1634414400000,11.3
1634418000000,10.6
1634421600000,10.3
1634425200000,9.6
1634428800000,10
1634432400000,8.2
1634436000000,8.2
1634439600000,7.1
1634443200000,6.7
1634446800000,6
1634450400000,8.6
1634454000000,11
1634457600000,14.6
1634461200000,15
1634464800000,16.6
1634468400000,16.8
1634472000000,17.6
1634475600000,17.8
1634479200000,17.6
1634482800000,15.6
1634486400000,14.3
1634490000000,12
1634493600000,10
1634497200000,9
1634500800000,8.2
1634504400000,8.2
1634508000000,8.2
1634511600000,7.1
1634515200000,7.1
1634518800000,6.7
1634522400000,6.3
1634526000000,6.3
1634529600000,5.6
1634533200000,6.7
1634536800000,6.7
1634540400000,8.2
1634544000000,10.3
1634547600000,13.3
1634551200000,15.3
1634554800000,15.3
1634558400000,16.6
1634562000000,16.1
1634565600000,13.8
1634569200000,16.3
1634572800000,15.3
1634576400000,11
1634580000000,10.6
1634583600000,9.3
1634587200000,8.2
1634590800000,7.5
1634594400000,6.7
1634598000000,6.7
1634601600000,7.1
1634605200000,6.7
1634608800000,5.2
1634612400000,4.5
1634616000000,4.5
1634619600000,5.2
1634623200000,5.2
1634626800000,7.5
1634630400000,11.3
1634634000000,12
1634637600000,14.3
1634641200000,17.6
1634644800000,18.3
1634648400000,19.6
1634652000000,18.3
1634655600000,16.7
1634659200000,15
1634662800000,13.6
1634666400000,12.6
1634670000000,12
1634673600000,11.3
